Country Code,Year,Size,Value,Unit,Main Activity Sector Name,Main Activity Code,Country,ETS information,Active Installation,Entities
SE,2018.0,All sizes,194044.0,units,28 Production or processing of non-ferrous metals,28,Sweden,1. Total allocated allowances (EUA or EUAA),all entities,1.0
SE,2018.0,All sizes,652815.0,units,23 Metal ore roasting or sintering,23,Sweden,4. Total surrendered units,all entities,3.0
SE,2018.0,All sizes,3206354.0,units,24  Production of pig iron or steel,24,Sweden,4. Total surrendered units,all entities,14.0
SE,2019.0,All sizes,38648.0,units,25 Production or processing of ferrous metals,25,Sweden,1.1.1 Free allocation to existing entities (Art. 10a(1)),all entities,3.0
SE,2019.0,All sizes,668076.0,units,23 Metal ore roasting or sintering,23,Sweden,4. Total surrendered units,all entities,3.0
SE,2019.0,All sizes,4465331.0,units,24  Production of pig iron or steel,24,Sweden,4. Total surrendered units,all entities,14.0
SK,,All sizes,2125725.0,units,28 Production or processing of non-ferrous metals,28,Slovakia,4.1 Surrendered EU allowances (EUAs and EUAAs),all entities,
SK,,All sizes,57061377.0,tonne of CO2 equ.,24  Production of pig iron or steel,24,Slovakia,2. Verified emissions,all entities,
SK,,All sizes,422053.0,units,28 Production or processing of non-ferrous metals,28,Slovakia,4.1 Surrendered EU allowances (EUAs and EUAAs),all entities,
SK,,All sizes,21156179.0,tonne of CO2 equ.,24  Production of pig iron or steel,24,Slovakia,2.1 EU-ETS Verified Emission,all entities,
SE,2023.0,All sizes,774118.0,units,23 Metal ore roasting or sintering,23,Sweden,1.1 Freely allocated allowances,all entities,3.0
SE,2023.0,All sizes,4722703.0,units,24  Production of pig iron or steel,24,Sweden,1.1.1 Free allocation to existing entities (Art. 10a(1)),all entities,13.0
SE,2024.0,All sizes,28337.0,units,25 Production or processing of ferrous metals,25,Sweden,1. Total allocated allowances (EUA or EUAA),all entities,3.0
SE,2024.0,All sizes,776000.0,units,23 Metal ore roasting or sintering,23,Sweden,1. Total allocated allowances (EUA or EUAA),all entities,3.0
SE,2024.0,All sizes,4796866.0,units,24  Production of pig iron or steel,24,Sweden,4.1 Surrendered EU allowances (EUAs and EUAAs),all entities,14.0
SE,2025.0,All sizes,134407.0,units,28 Production or processing of non-ferrous metals,28,Sweden,1.1 Freely allocated allowances,all entities,
SK,2007.0,All sizes,9710566.0,units,24  Production of pig iron or steel,24,Slovakia,1. Total allocated allowances (EUA or EUAA),all entities,3.0
SK,2008.0,All sizes,28289.0,units,25 Production or processing of ferrous metals,25,Slovakia,4. Total surrendered units,all entities,4.0
SK,2008.0,All sizes,69368.0,units,25 Production or processing of ferrous metals,25,Slovakia,1. Total allocated allowances (EUA or EUAA),all entities,4.0
SK,2009.0,All sizes,67735.0,units,25 Production or processing of ferrous metals,25,Slovakia,1.1 Freely allocated allowances,all entities,4.0
SK,2009.0,All sizes,785481.0,units,24  Production of pig iron or steel,24,Slovakia,4.2 Surrendered certified emission reductions (CERs),all entities,3.0
SK,2010.0,All sizes,10486.0,units,25 Production or processing of ferrous metals,25,Slovakia,4. Total surrendered units,all entities,4.0
SE,2018.0,All sizes,59016.0,units,25 Production or processing of ferrous metals,25,Sweden,4. Total surrendered units,all entities,3.0
SE,2018.0,All sizes,165316.0,units,28 Production or processing of non-ferrous metals,28,Sweden,4. Total surrendered units,all entities,1.0
SE,2018.0,All sizes,617883.0,units,23 Metal ore roasting or sintering,23,Sweden,1.1.1 Free allocation to existing entities (Art. 10a(1)),all entities,3.0
SE,2018.0,All sizes,652815.0,tonne of CO2 equ.,23 Metal ore roasting or sintering,23,Sweden,2. Verified emissions,all entities,3.0
SE,2018.0,All sizes,3206354.0,tonne of CO2 equ.,24  Production of pig iron or steel,24,Sweden,2.1 EU-ETS Verified Emission,all entities,14.0
SE,2019.0,All sizes,38648.0,units,25 Production or processing of ferrous metals,25,Sweden,1. Total allocated allowances (EUA or EUAA),all entities,3.0
SE,2019.0,All sizes,181727.0,tonne of CO2 equ.,28 Production or processing of non-ferrous metals,28,Sweden,2. Verified emissions,all entities,1.0
