"Date","Price","Open","High","Low","Vol.","Change %"
"08/01/2018","330.00","330.00","330.00","330.00","0.50K","-3.40%"
"07/31/2018","341.61","341.61","341.61","341.61","","0.03%"
"07/30/2018","341.50","341.50","341.50","341.50","","0.00%"
"07/27/2018","341.50","341.50","341.50","341.50","","0.00%"
"07/26/2018","341.50","341.50","341.50","341.50","","0.00%"
"07/25/2018","341.50","341.50","341.50","341.50","","0.00%"
"07/24/2018","341.50","341.50","341.50","341.50","","0.00%"
"07/23/2018","341.50","341.50","341.50","341.50","0.05K","-0.15%"
"07/20/2018","342.00","342.00","342.00","342.00","","0.00%"
"07/19/2018","342.00","342.00","342.00","342.00","","0.29%"
"07/18/2018","341.00","341.00","341.00","341.00","","0.00%"
"07/17/2018","341.00","341.00","341.00","341.00","","0.00%"
"07/16/2018","341.00","341.00","341.00","341.00","0.15K","-1.45%"
"07/13/2018","346.00","346.00","346.00","346.00","","0.00%"
"07/12/2018","346.00","346.00","346.00","346.00","0.05K","0.00%"
"07/11/2018","346.00","346.00","346.00","346.00","","0.29%"
"07/10/2018","345.00","345.00","345.00","345.00","0.40K","-1.43%"
"07/09/2018","350.00","350.00","350.00","350.00","0.03K","1.16%"
"07/06/2018","346.00","346.00","346.00","346.00","","0.00%"
"07/05/2018","346.00","346.00","346.00","346.00","0.30K","-0.86%"
"07/04/2018","349.00","349.00","349.00","349.00","0.02K","-0.85%"
"07/03/2018","352.00","352.00","352.00","352.00","0.03K","-0.56%"
"07/02/2018","354.00","354.00","354.00","354.00","","1.84%"
"06/29/2018","347.62","347.62","347.62","347.62","","-0.11%"
"06/28/2018","348.00","348.00","348.00","348.00","","0.00%"
"06/27/2018","348.00","348.00","348.00","348.00","","0.00%"
"06/26/2018","348.00","348.00","348.00","348.00","","0.00%"
"06/25/2018","348.00","348.00","348.00","348.00","","0.00%"
"06/22/2018","348.00","348.00","348.00","348.00","0.01K","0.00%"
"06/21/2018","348.00","348.00","348.00","348.00","","0.00%"
"06/20/2018","348.00","348.00","348.00","348.00","","0.00%"
"06/19/2018","348.00","348.00","348.00","348.00","","0.00%"
"06/18/2018","348.00","348.00","348.00","348.00","0.18K","-0.29%"
"06/15/2018","349.00","349.00","349.00","349.00","0.00K","0.87%"
"06/14/2018","346.00","346.00","346.00","346.00","0.83K","0.29%"
"06/13/2018","345.00","345.00","345.00","345.00","0.18K","-1.43%"
"06/12/2018","350.00","350.00","350.00","350.00","0.15K","0.57%"
"06/11/2018","348.00","348.00","348.00","348.00","0.06K","-1.14%"
"06/08/2018","352.00","352.00","352.00","352.00","0.02K","1.73%"
"06/07/2018","346.00","346.00","346.00","346.00","0.13K","1.17%"
"06/06/2018","342.00","342.00","342.00","342.00","0.23K","-1.44%"
"06/05/2018","347.00","347.00","347.00","347.00","0.54K","2.06%"
"06/04/2018","340.00","340.00","340.00","340.00","0.26K","0.59%"
"06/01/2018","338.00","338.00","338.00","338.00","","-2.96%"
"05/31/2018","348.30","348.30","348.30","348.30","0.02K","0.96%"
"05/30/2018","345.00","345.00","345.00","345.00","0.02K","-1.43%"
"05/29/2018","350.00","350.00","350.00","350.00","0.15K","0.00%"
"05/25/2018","350.00","350.00","350.00","350.00","","0.00%"
"05/24/2018","350.00","350.00","350.00","350.00","","0.00%"
"05/23/2018","350.00","350.00","350.00","350.00","0.03K","-0.28%"
"05/22/2018","351.00","351.00","351.00","351.00","0.02K","0.00%"
"05/21/2018","351.00","351.00","351.00","351.00","","0.00%"
"05/18/2018","351.00","351.00","351.00","351.00","","-0.28%"
"05/17/2018","352.00","352.00","352.00","352.00","0.05K","-0.85%"
"05/16/2018","355.00","355.00","355.00","355.00","0.00K","0.00%"
"05/15/2018","355.00","355.00","355.00","355.00","","0.00%"
"05/14/2018","355.00","355.00","355.00","355.00","","0.71%"
"05/11/2018","352.50","352.50","352.50","352.50","","0.14%"
"05/10/2018","352.00","352.00","352.00","352.00","","0.57%"
"05/09/2018","350.00","350.00","350.00","350.00","0.10K","-1.13%"
"05/08/2018","354.00","354.00","354.00","354.00","","0.00%"
"05/04/2018","354.00","354.00","354.00","354.00","6.12K","-0.28%"
"05/03/2018","355.00","355.00","355.00","355.00","0.18K","-1.11%"
"05/02/2018","359.00","359.00","359.00","359.00","0.81K","0.70%"
"05/01/2018","356.50","356.50","356.50","356.50","0.11K","1.59%"
"04/30/2018","350.93","350.93","350.93","350.93","","-0.02%"
"04/27/2018","351.00","351.00","351.00","351.00","","0.00%"
"04/26/2018","351.00","351.00","351.00","351.00","","0.00%"
"04/25/2018","351.00","351.00","351.00","351.00","0.10K","0.00%"
"04/24/2018","351.00","351.00","351.00","351.00","","0.00%"
"04/23/2018","351.00","351.00","351.00","351.00","","0.00%"
"04/20/2018","351.00","351.00","351.00","351.00","","0.00%"
"04/19/2018","351.00","351.00","351.00","351.00","0.01K","0.00%"
"04/18/2018","351.00","351.00","351.00","351.00","","0.00%"
"04/17/2018","351.00","351.00","351.00","351.00","0.32K","-0.85%"
"04/16/2018","354.00","354.00","354.00","354.00","0.11K","0.57%"
"04/13/2018","352.00","352.00","352.00","352.00","","0.00%"
"04/12/2018","352.00","352.00","352.00","352.00","0.03K","-0.98%"
"04/11/2018","355.50","355.50","355.50","355.50","0.11K","-0.97%"
"04/10/2018","359.00","359.00","359.00","359.00","0.78K","1.13%"
"04/09/2018","355.00","355.00","355.00","355.00","0.27K","2.31%"
"04/06/2018","347.00","347.00","347.00","347.00","0.36K","2.36%"
"04/05/2018","339.00","339.00","339.00","339.00","0.08K","-2.02%"
"04/04/2018","346.00","346.00","346.00","346.00","0.53K","-1.70%"
"04/03/2018","352.00","352.00","352.00","352.00","0.91K","-5.38%"
"03/29/2018","372.00","372.00","372.00","372.00","","0.27%"
"03/28/2018","371.00","371.00","371.00","371.00","","0.27%"
"03/27/2018","370.00","370.00","370.00","370.00","0.35K","-0.80%"
"03/26/2018","373.00","373.00","373.00","373.00","","0.00%"
"03/23/2018","373.00","373.00","373.00","373.00","","-0.53%"
"03/22/2018","375.00","375.00","375.00","375.00","0.30K","0.00%"
"03/21/2018","375.00","375.00","375.00","375.00","0.02K","0.40%"
"03/20/2018","373.50","373.50","373.50","373.50","","0.27%"
"03/19/2018","372.50","372.50","372.50","372.50","0.03K","-1.97%"
"03/16/2018","380.00","380.00","380.00","380.00","0.01K","0.00%"
"03/15/2018","380.00","380.00","380.00","380.00","0.03K","0.80%"
"03/14/2018","377.00","377.00","377.00","377.00","","0.00%"
"03/13/2018","377.00","377.00","377.00","377.00","","0.00%"
"03/12/2018","377.00","377.00","377.00","377.00","","-0.79%"
"03/09/2018","380.00","380.00","380.00","380.00","0.05K","1.88%"
"03/08/2018","373.00","373.00","373.00","373.00","0.07K","-2.86%"
"03/07/2018","384.00","384.00","384.00","384.00","0.08K","0.26%"
"03/06/2018","383.00","383.00","383.00","383.00","0.30K","0.26%"
"03/05/2018","382.00","382.00","382.00","382.00","0.20K","0.53%"
"03/02/2018","380.00","380.00","380.00","380.00","0.11K","1.33%"
"03/01/2018","375.00","375.00","375.00","375.00","0.49K","6.23%"
"02/28/2018","353.00","353.00","353.00","353.00","0.02K","-1.40%"
"02/27/2018","358.00","358.00","358.00","358.00","2.22K","0.56%"
"02/26/2018","356.00","356.00","356.00","356.00","0.05K","0.56%"
"02/23/2018","354.00","354.00","354.00","354.00","","0.00%"
"02/22/2018","354.00","354.00","354.00","354.00","","0.00%"
"02/21/2018","354.00","354.00","354.00","354.00","","0.00%"
"02/20/2018","354.00","354.00","354.00","354.00","","0.00%"
"02/19/2018","354.00","354.00","354.00","354.00","","-0.56%"
"02/16/2018","356.00","356.00","356.00","356.00","","-0.28%"
"02/15/2018","357.00","357.00","357.00","357.00","0.07K","0.00%"
"02/14/2018","357.00","357.00","357.00","357.00","0.08K","0.00%"
"02/13/2018","357.00","357.00","357.00","357.00","0.17K","0.56%"
"02/12/2018","355.00","355.00","355.00","355.00","0.06K","-1.39%"
"02/09/2018","360.00","360.00","360.00","360.00","0.20K","1.41%"
"02/08/2018","355.00","355.00","355.00","355.00","0.16K","1.14%"
"02/07/2018","351.00","351.00","351.00","351.00","0.44K","0.29%"
"02/06/2018","350.00","350.00","350.00","350.00","0.45K","-0.71%"
"02/05/2018","352.50","352.50","352.50","352.50","0.58K","1.59%"
"02/02/2018","347.00","347.00","347.00","347.00","1.49K","-0.57%"
"02/01/2018","349.00","349.00","349.00","349.00","3.42K","-4.15%"
"01/31/2018","364.11","364.11","364.11","364.11","","-0.24%"
"01/30/2018","365.00","365.00","365.00","365.00","","0.00%"
"01/29/2018","365.00","365.00","365.00","365.00","","0.27%"
"01/26/2018","364.00","364.00","364.00","364.00","","0.00%"
"01/25/2018","364.00","364.00","364.00","364.00","0.01K","-0.82%"
"01/24/2018","367.00","367.00","367.00","367.00","","0.00%"
"01/23/2018","367.00","367.00","367.00","367.00","0.02K","-0.27%"
"01/22/2018","368.00","368.00","368.00","368.00","0.09K","-0.54%"
"01/19/2018","370.00","370.00","370.00","370.00","0.00K","0.00%"
"01/18/2018","370.00","370.00","370.00","370.00","0.06K","-0.27%"
"01/17/2018","371.00","371.00","371.00","371.00","0.02K","0.00%"
"01/16/2018","371.00","371.00","371.00","371.00","0.41K","0.00%"
"01/15/2018","371.00","371.00","371.00","371.00","0.38K","-1.07%"
"01/12/2018","375.00","375.00","375.00","375.00","0.42K","0.54%"
"01/11/2018","373.00","373.00","373.00","373.00","0.30K","-1.06%"
"01/10/2018","377.00","377.00","377.00","377.00","0.56K","1.34%"
"01/09/2018","372.00","372.00","372.00","372.00","0.79K","0.00%"
