freq,indic_et,sitc06,partner,geo\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,RT_IVOL,TOTAL,WORLD,CY	63.8 	80.7 	97.1 	79.6 	76.7 	97.3 	91.5 	92.1 	100.0 	104.4 	108.4 	138.0 
A,RT_IVOL,TOTAL,WORLD,CZ	102.6 	103.3 	101.4 	104.7 	103.4 	100.6 	101.9 	101.9 	100.0 	98.8 	101.5 	101.6 
A,RT_IVOL,TOTAL,WORLD,DE	110.7 	109.2 	108.5 	106.7 	106.4 	105.0 	103.0 	99.5 	100.0 	94.2 	97.9 	99.9 
A,RT_IVOL,TOTAL,WORLD,DK	104.4 	105.4 	103.5 	104.5 	104.6 	102.6 	103.4 	102.3 	100.0 	101.0 	110.3 	114.1 
A,RT_IVOL,TOTAL,WORLD,EE	94.6 	94.2 	95.8 	95.0 	95.3 	96.8 	98.2 	100.7 	100.0 	97.2 	96.5 	94.5 
A,RT_IVOL,TOTAL,WORLD,EL	95.0 	91.6 	94.4 	94.1 	95.2 	97.4 	96.5 	102.5 	100.0 	97.7 	99.1 	94.3 
A,RT_IVOL,TOTAL,WORLD,ES	97.8 	95.6 	96.1 	97.7 	96.5 	96.4 	96.9 	99.9 	100.0 	96.3 	101.7 	101.7 
A,RT_IVOL,TOTAL,WORLD,EU27_2020	114.1 	111.6 	109.2 	107.3 	107.8 	105.5 	104.6 	101.8 	100.0 	90.1 	96.1 	96.1 
A,RT_IVOL,TOTAL,WORLD,FI	100.9 	100.9 	98.4 	94.6 	97.3 	98.9 	102.4 	100.0 	100.0 	91.6 	103.3 	101.5 
A,RT_IVOL,TOTAL,WORLD,FR	103.8 	105.4 	105.3 	105.4 	105.7 	106.6 	107.4 	101.8 	100.0 	94.8 	102.7 	105.7 
A,RT_IVOL,TOTAL,WORLD,HR	89.6 	93.8 	95.4 	95.5 	98.7 	95.7 	93.6 	100.1 	100.0 	93.2 	95.7 	92.3 
A,RT_IVOL,TOTAL,WORLD,HU	108.5 	106.4 	107.9 	108.3 	104.8 	103.0 	101.6 	100.6 	100.0 	98.6 	102.0 	107.4 
A,RT_IVOL,TOTAL,WORLD,IE	72.4 	69.1 	74.0 	74.2 	74.0 	81.0 	90.8 	103.2 	100.0 	100.3 	99.7 	114.7 
A,RT_IVOL,TOTAL,WORLD,IT	105.4 	104.8 	102.7 	102.5 	104.2 	102.4 	102.5 	101.1 	100.0 	97.7 	97.2 	96.9 
A,RT_IVOL,TOTAL,WORLD,LT	106.3 	104.5 	98.0 	97.5 	99.2 	96.8 	98.1 	101.8 	100.0 	92.4 	92.8 	94.8 
A,RT_IVOL,TOTAL,WORLD,LU	95.2 	106.0 	109.7 	111.7 	107.3 	108.2 	110.1 	105.5 	100.0 	99.0 	107.6 	109.2 
A,RT_IVOL,TOTAL,WORLD,LV	97.1 	98.4 	101.0 	100.6 	100.6 	98.1 	98.8 	104.7 	100.0 	97.4 	100.0 	102.1 
A,RT_IVOL,TOTAL,WORLD,MT	180.7 	135.5 	128.7 	145.1 	131.1 	112.6 	101.1 	103.9 	100.0 	97.2 	101.4 	99.9 
A,RT_IVOL,TOTAL,WORLD,NL	101.6 	99.1 	96.9 	98.4 	99.2 	98.5 	97.7 	100.2 	100.0 	100.0 	100.7 	96.9 
A,RT_IVOL,TOTAL,WORLD,PL	97.2 	97.1 	99.2 	100.8 	100.4 	99.7 	101.3 	102.9 	100.0 	96.9 	100.8 	97.7 
A,RT_IVOL,TOTAL,WORLD,PT	111.9 	107.5 	105.2 	103.1 	101.5 	99.2 	96.7 	102.0 	100.0 	96.2 	95.7 	94.1 
A,RT_IVOL,TOTAL,WORLD,RO	109.0 	111.5 	107.3 	106.5 	107.2 	107.0 	105.3 	100.3 	100.0 	97.6 	101.6 	98.8 
A,RT_IVOL,TOTAL,WORLD,SE	103.8 	100.4 	99.3 	97.4 	100.5 	98.8 	100.3 	103.0 	100.0 	99.2 	104.2 	105.7 
A,RT_IVOL,TOTAL,WORLD,SI	100.5 	104.0 	103.8 	104.0 	103.7 	103.4 	100.4 	99.9 	100.0 	99.4 	94.0 	83.3 
A,RT_IVOL,TOTAL,WORLD,SK	99.3 	97.0 	98.4 	99.2 	98.2 	96.8 	97.3 	98.4 	100.0 	101.3 	105.5 	103.0 
